,customer_INN,provider_INN
542,2913,3671
543,2913,3671
544,2913,3671
545,2913,3671
546,2913,3671
547,2913,3671
548,2913,3671
549,2913,3671
550,2913,3671
551,2913,3671
552,2913,3671
553,2913,3671
554,2913,3671
555,2913,3671
556,2913,3671
557,2913,3671
558,2913,3671
559,2913,3671
560,2913,3671
561,2913,3671
562,2913,3671
563,2913,3671
564,203,205
565,203,205
566,3384,1106
567,3384,1106
568,3384,1106
569,1104,1100
570,2937,884
571,2937,884
572,2937,884
573,2937,884
574,2937,884
575,2937,884
576,2258,2254
577,2258,2254
578,2258,2254
579,2258,2254
580,1846,2765
581,2910,2795
582,2910,2795
583,2910,2795
584,2910,2795
585,2910,2795
586,2910,2795
587,2910,2795
588,2910,2795
589,2910,2795
590,2910,2795
591,2910,2795
592,2910,2795
593,2910,2795
594,2910,2795
595,2910,2795
596,2910,2795
597,2910,2795
598,2910,2795
599,2910,2795
600,2910,2795
601,2910,2795
602,2910,2795
603,2910,2795
604,2910,2795
605,2910,2795
606,2910,2795
607,2910,2795
608,2910,2795
609,2910,2795
610,2910,2795
611,2910,2795
612,2910,2795
613,2910,2795
614,2910,2795
615,2910,2795
616,2910,2795
617,2910,2795
618,2910,2795
619,2910,2795
620,2910,2795
621,2910,2795
622,2910,2795
623,2910,2795
624,2910,2795
625,2910,2795
626,2910,2795
627,2910,2795
628,2910,2795
629,2910,2795
630,2910,2795
631,2910,2795
632,2910,2795
633,2910,2795
634,2910,2795
635,2910,2795
636,3022,3666
637,3022,3666
638,3022,3666
639,3022,3666
640,3022,3666
641,3022,3666
642,3022,3666
643,3022,3666
644,3022,3666
645,3022,3666
646,3022,3666
647,3022,3666
648,3022,3666
649,3022,3666
650,3022,3666
651,3022,3666
652,3022,3666
653,3022,3666
654,3022,3666
655,3022,3666
656,3022,3666
657,3022,3666
658,3022,3666
659,3022,3666
660,3022,3666
661,3022,3666
662,3022,3666
663,3022,3666
664,3022,3666
665,3022,3666
666,3022,3666
667,3022,3666
668,3022,3666
669,3022,3666
670,3022,3666
671,3022,3666
672,3022,3666
673,3022,3666
674,3022,3666
675,3022,3666
676,3022,3666
677,3022,3666
678,3022,3666
679,3022,3666
680,3022,3666
681,3022,3666
682,3022,3666
683,3022,3666
684,3022,3666
685,3022,3666
686,3022,3666
687,3022,3666
688,3022,3666
689,3022,3666
690,3022,3666
691,3022,3666
692,3022,3666
693,3022,3666
694,3022,3666
695,3022,3666
696,3022,3666
697,3022,3666
698,3022,3666
699,3022,3666
700,121,112
701,2833,1833
702,168,205
703,168,205
704,168,205
705,168,205
706,2226,2243
707,2226,2243
708,2226,2243
709,2226,2243
710,2226,2243
711,93,86
712,1987,1969
713,329,172
714,329,172
715,329,172
716,329,172
717,1841,1851
718,1841,1851
719,1111,1123
720,1111,1123
721,107,3522
722,107,3522
723,107,3522
724,107,3522
725,107,3522
726,154,153
727,154,153
728,154,153
729,107,205
730,358,377
731,310,362
732,310,362
733,310,362
734,310,362
735,310,362
736,310,362
737,310,362
738,310,362
739,310,325
740,310,325
741,310,325
742,310,325
743,310,325
744,3205,1645
745,3205,1645
746,3205,1645
747,3205,1645
748,3205,1645
749,3205,1645
750,3205,1645
751,3205,1645
752,3205,1645
753,3205,1645
754,3205,1645
755,3205,1645
756,3205,1645
757,3205,1645
758,3205,1645
759,2833,1833
760,310,383
761,310,383
762,310,383
763,341,287
764,323,236
765,265,375
766,265,375
767,265,375
768,265,375
769,3340,3284
770,3340,3284
771,3340,3284
772,3340,3284
773,3340,3284
774,3340,3284
775,3340,3284
776,3340,3284
777,3340,3284
778,3340,3284
779,3340,3284
780,3340,3284
781,3340,3284
782,3340,3284
783,3340,3284
784,3340,3284
785,3340,3284
786,3340,3284
787,3340,3284
788,3340,3284
789,3340,3284
790,3340,3284
791,3340,3284
792,3340,3284
793,3340,3284
794,3340,3284
795,3340,3284
796,3340,3284
797,3340,3284
798,3340,3284
799,3340,3284
800,3340,3284
801,3340,3284
802,3340,3284
803,3340,3284
804,3340,3284
805,3340,3284
806,3340,3284
807,3340,3284
808,2234,3670
809,2234,3670
810,2234,3670
811,2234,3670
812,2234,3670
813,2234,3670
814,147,354
815,147,354
816,148,354
817,148,354
818,146,354
